可发现物品,分类 3,分类1,分类2,分类（英文）,可发现物品（英文）,基础热议度,子分类,子分类 (关联）,展品主题,展品简介,所在地图,"所有特性 ",探索地图（汇总）,探索点,探索点溯源,探索点（英文）,热议度上限,特性效果,特性（颜色）,特殊说明,知识
驱鬼机,,,,Man-Eating Plants,Ghost Guster,,除鬼设备,除鬼设备 (https://www.notion.so/1df2a3e2f917807b9c8ee84ab2cbb933?pvs=21),超自然,,冥界,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),冥界,超自然观测机构,超自然观测机构 (https://www.notion.so/1b52a3e2f91781139521fcc5702d207a?pvs=21),Paranormal Detection Agency,,,无,,
维多利亚时代名流,,,,Industrial Age Spirits,Gentlefolk,,工业时代灵体,工业时代灵体 (https://www.notion.so/1df2a3e2f9178018a943e6442e504120?pvs=21),超自然,维多利亚时代名流,冥界,"作曲家 (https://www.notion.so/1d02a3e2f917805ca76bfddbeadd9dd4?pvs=21), 室内设计师 (https://www.notion.so/1d02a3e2f91780cc8112e56866d48b3f?pvs=21), 艺术家 (https://www.notion.so/1d02a3e2f9178059ab3ef45fcac6126a?pvs=21), 学者 (https://www.notion.so/1d02a3e2f91780e5aa82cdb482238e27?pvs=21), 医生 (https://www.notion.so/1d02a3e2f917804fadd2f4b5691379d6?pvs=21), 图书管理员 (https://www.notion.so/1d02a3e2f91780aab5b1e6f39c977053?pvs=21), 喜剧人 (https://www.notion.so/1d02a3e2f917807eadbcc52294dbfd74?pvs=21), 哲学家 (https://www.notion.so/1d02a3e2f91780c1be21cfca284414d0?pvs=21), 历史学家 (https://www.notion.so/1d02a3e2f91780d9acb8ec8e5677e638?pvs=21)",冥界,超自然观测机构,超自然观测机构 (https://www.notion.so/1b52a3e2f91781139521fcc5702d207a?pvs=21),Paranormal Detection Agency,,"用自己的音乐天赋提升访客的娱乐度,非常喜欢家具,爱用灵质进行极具创意力的创作,提供更多知识,有几率会治疗员工的伤病,从虫子吃人的时代起已经是书虫了,提升其他灵体的娱乐度,比其他灵体更平静,非常喜欢黑暗时代","作曲家,室内设计师,艺术家,学者,医生,图书管理员,喜剧人,哲学家,历史学家",,
羞怯半身像,,,,Cursed Objects,Bashful Bust,,诅咒物品,诅咒物品 (https://www.notion.so/1df2a3e2f91780fc83bae83db05899c3?pvs=21),超自然,,冥界,"鬼魅诱惑 (https://www.notion.so/1df2a3e2f91780fd94d8ea79616ee8e3?pvs=21), 恶灵修复 (https://www.notion.so/1dc2a3e2f9178050ab93f558a10d7997?pvs=21), 厕所跳脸杀 (https://www.notion.so/1dc2a3e2f917805db184fd7f6f8e0752?pvs=21), 永恒沉眠 (https://www.notion.so/1df2a3e2f91780e59f68ec90aa394961?pvs=21), 混沌之雨 (https://www.notion.so/1df2a3e2f9178070940cfefb36c5f8a8?pvs=21)",冥界,安息之地,安息之地 (https://www.notion.so/1b52a3e2f91781b69a00c3f3083be7a5?pvs=21),The Resting Place,,"恐怖与迷人的完美平衡，令人欲罢不能（提升娱乐度+5%）,被躁动不安的灵体附身，灵体会一直为其宿主进行清洁，清洁度会逐渐恢复至100%,最糟糕的惊吓方式，严重影响肠胃舒适度（-10%）,让人陷入深度睡眠，能量将会减少（-5%）,邪恶之力让博物馆充满垃圾，会导致访客无视垃圾桶，随地乱扔垃圾","鬼魅诱惑,恶灵修复,厕所跳脸杀,永恒沉眠,混沌之雨",,
驱鬼动力装置,,,,Ghost Dusting Equipment,Ghost Thruster,,除鬼设备,除鬼设备 (https://www.notion.so/1df2a3e2f917807b9c8ee84ab2cbb933?pvs=21),超自然,,冥界,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),冥界,安息之地,安息之地 (https://www.notion.so/1b52a3e2f91781b69a00c3f3083be7a5?pvs=21),The Resting Place,,,无,,
崔吉·西瓦臀,,,,Famous Spirits,Twiggy Silverbottom,,著名灵体,著名灵体 (https://www.notion.so/1df2a3e2f917804ab12fd821ea52dd40?pvs=21),超自然,崔吉·西瓦臀,冥界,"独一无二 (https://www.notion.so/1c32a3e2f91780b1ad73d1f892227b74?pvs=21), 专家 (https://www.notion.so/1df2a3e2f91780be89c5f3d8e7e6eb99?pvs=21)",冥界,安息之地,安息之地 (https://www.notion.so/1b52a3e2f91781b69a00c3f3083be7a5?pvs=21),The Resting Place,,"世上仅此一个,增加访客的参观时长","独一无二,专家",,
闹鬼的厕所,,,,Cursed Objects,Haunted Toilet,,诅咒物品,诅咒物品 (https://www.notion.so/1df2a3e2f91780fc83bae83db05899c3?pvs=21),超自然,,冥界,"鬼魅诱惑 (https://www.notion.so/1df2a3e2f91780fd94d8ea79616ee8e3?pvs=21), 恶灵修复 (https://www.notion.so/1dc2a3e2f9178050ab93f558a10d7997?pvs=21), 厕所跳脸杀 (https://www.notion.so/1dc2a3e2f917805db184fd7f6f8e0752?pvs=21), 永恒沉眠 (https://www.notion.so/1df2a3e2f91780e59f68ec90aa394961?pvs=21), 混沌之雨 (https://www.notion.so/1df2a3e2f9178070940cfefb36c5f8a8?pvs=21)",冥界,深谙瀑布,深谙瀑布 (https://www.notion.so/1b52a3e2f91781ae8979cd5fe1e79405?pvs=21),Familiar Falls,,"恐怖与迷人的完美平衡，令人欲罢不能（提升娱乐度+5%）,被躁动不安的灵体附身，灵体会一直为其宿主进行清洁，清洁度会逐渐恢复至100%,最糟糕的惊吓方式，严重影响肠胃舒适度（-10%）,让人陷入深度睡眠，能量将会减少（-5%）,邪恶之力让博物馆充满垃圾，会导致访客无视垃圾桶，随地乱扔垃圾","鬼魅诱惑,恶灵修复,厕所跳脸杀,永恒沉眠,混沌之雨",,
布拉加德之剑,,,,Famous Possessions,Blaggardous Blade,,著名藏品,著名藏品 (https://www.notion.so/1df2a3e2f91780fdbf42d88bb6f96040?pvs=21),超自然,布拉加德之剑,冥界,独一无二 (https://www.notion.so/1c32a3e2f91780b1ad73d1f892227b74?pvs=21),冥界,半恶城堡,半恶城堡 (https://www.notion.so/1b52a3e2f91781a8b570e7e373bbd887?pvs=21),Semi-Evil Castle,,世上仅此一个,独一无二,,
闹鬼的盔甲,,,,Cursed Objects,Haunted Armour,,诅咒物品,诅咒物品 (https://www.notion.so/1df2a3e2f91780fc83bae83db05899c3?pvs=21),超自然,闹鬼的盔甲,冥界,"鬼魅诱惑 (https://www.notion.so/1df2a3e2f91780fd94d8ea79616ee8e3?pvs=21), 恶灵修复 (https://www.notion.so/1dc2a3e2f9178050ab93f558a10d7997?pvs=21), 厕所跳脸杀 (https://www.notion.so/1dc2a3e2f917805db184fd7f6f8e0752?pvs=21), 永恒沉眠 (https://www.notion.so/1df2a3e2f91780e59f68ec90aa394961?pvs=21), 混沌之雨 (https://www.notion.so/1df2a3e2f9178070940cfefb36c5f8a8?pvs=21)",冥界,半恶城堡,半恶城堡 (https://www.notion.so/1b52a3e2f91781a8b570e7e373bbd887?pvs=21),Semi-Evil Castle,,"恐怖与迷人的完美平衡，令人欲罢不能（提升娱乐度+5%）,被躁动不安的灵体附身，灵体会一直为其宿主进行清洁，清洁度会逐渐恢复至100%,最糟糕的惊吓方式，严重影响肠胃舒适度（-10%）,让人陷入深度睡眠，能量将会减少（-5%）,邪恶之力让博物馆充满垃圾，会导致访客无视垃圾桶，随地乱扔垃圾","鬼魅诱惑,恶灵修复,厕所跳脸杀,永恒沉眠,混沌之雨",,
丹尼斯·布拉加德领主,,,,Famous Spirits,Lord Dennis Blaggard,,著名灵体,著名灵体 (https://www.notion.so/1df2a3e2f917804ab12fd821ea52dd40?pvs=21),超自然,丹尼斯·布拉加德领主,冥界,"独一无二 (https://www.notion.so/1c32a3e2f91780b1ad73d1f892227b74?pvs=21), 布拉加德领主 (https://www.notion.so/1df2a3e2f917807b8cfce83acd4e76aa?pvs=21)",冥界,半恶城堡,半恶城堡 (https://www.notion.so/1b52a3e2f91781a8b570e7e373bbd887?pvs=21),Semi-Evil Castle,,"世上仅此一个,让其他灵体的平静度降低得更慢，万岁","独一无二,布拉加德领主",,
骑士,,,,Dark Age Spirits,Knight,,黑暗时代灵体,黑暗时代灵体 (https://www.notion.so/1df2a3e2f917803a8062f7c2f1eeeb5d?pvs=21),超自然,骑士,冥界,"布拉加德骑士 (https://www.notion.so/1c32a3e2f9178038af0ae5ef333c9522?pvs=21), 无赖骑士 (https://www.notion.so/1dc2a3e2f9178072944dffcc8a91f555?pvs=21), 诺伯斯泰德骑士 (https://www.notion.so/1df2a3e2f91780b6bc8bd07f6a0e0342?pvs=21)",冥界,半恶城堡,半恶城堡 (https://www.notion.so/1b52a3e2f91781a8b570e7e373bbd887?pvs=21),Semi-Evil Castle,,"布拉加德骑士团的一员,自诩为骑士团的一员,诺伯斯泰德骑士团的一员","布拉加德骑士,无赖骑士,诺伯斯泰德骑士",,
血蝠树,,,,Man-Eating Plants,Haemogobbler Plant,,食人植物,食人植物 (https://www.notion.so/1df2a3e2f91780bcbdb2cc95fa336617?pvs=21),自然,血蝠树,冥界,"植物出品（吸血鬼） (https://www.notion.so/1df2a3e2f91780f2a63ac828eab33b4d?pvs=21), 生老病死 (https://www.notion.so/1df2a3e2f91780e38ab7d1f17aad5bff?pvs=21)",冥界,死神农园,死神农园 (https://www.notion.so/1b52a3e2f917816db8e3f226d5b2bdb4?pvs=21),Reaper Furrow,,"偶尔会吞掉访客，把他们变成吸血鬼,健康度降至0%时会死亡/枯萎","植物出品（吸血鬼）,生老病死",,
闹鬼的马匹,,,,Cursed Objects,Haunted Horse,,诅咒物品,诅咒物品 (https://www.notion.so/1df2a3e2f91780fc83bae83db05899c3?pvs=21),超自然,,冥界,"鬼魅诱惑 (https://www.notion.so/1df2a3e2f91780fd94d8ea79616ee8e3?pvs=21), 恶灵修复 (https://www.notion.so/1dc2a3e2f9178050ab93f558a10d7997?pvs=21), 厕所跳脸杀 (https://www.notion.so/1dc2a3e2f917805db184fd7f6f8e0752?pvs=21), 永恒沉眠 (https://www.notion.so/1df2a3e2f91780e59f68ec90aa394961?pvs=21), 混沌之雨 (https://www.notion.so/1df2a3e2f9178070940cfefb36c5f8a8?pvs=21)",冥界,死神农园,死神农园 (https://www.notion.so/1b52a3e2f917816db8e3f226d5b2bdb4?pvs=21),Reaper Furrow,,"恐怖与迷人的完美平衡，令人欲罢不能（提升娱乐度+5%）,被躁动不安的灵体附身，灵体会一直为其宿主进行清洁，清洁度会逐渐恢复至100%,最糟糕的惊吓方式，严重影响肠胃舒适度（-10%）,让人陷入深度睡眠，能量将会减少（-5%）,邪恶之力让博物馆充满垃圾，会导致访客无视垃圾桶，随地乱扔垃圾","鬼魅诱惑,恶灵修复,厕所跳脸杀,永恒沉眠,混沌之雨",,
庶民,,,,Dark Age Spirits,Peasant,,黑暗时代灵体,黑暗时代灵体 (https://www.notion.so/1df2a3e2f917803a8062f7c2f1eeeb5d?pvs=21),超自然,,冥界,"佣人 (https://www.notion.so/1dc2a3e2f917808abeaae44a36eb516b?pvs=21), 骑士侍从 (https://www.notion.so/1dc2a3e2f91780a7bd41fcc314b087bf?pvs=21), 小丑 (https://www.notion.so/1dc2a3e2f91780ffbfc0e4f267e38492?pvs=21), 隐士 (https://www.notion.so/1dc2a3e2f91780b3b61ed722cf094592?pvs=21), 铁匠 (https://www.notion.so/1dc2a3e2f917809b9a54d438289c3187?pvs=21)",冥界,死神农园,死神农园 (https://www.notion.so/1b52a3e2f917816db8e3f226d5b2bdb4?pvs=21),Reaper Furrow,,"会清理其他人留下的垃圾,骑士的最佳好友,提升其他灵体的娱乐度,喜欢待在室内,叮叮哐哐","佣人,骑士侍从,小丑,隐士,铁匠",,
鬼迪方椅子,,,,Famous Possessions,Hellhole Chair,,著名藏品,著名藏品 (https://www.notion.so/1df2a3e2f91780fdbf42d88bb6f96040?pvs=21),超自然,鬼迪方椅子,冥界,独一无二 (https://www.notion.so/1c32a3e2f91780b1ad73d1f892227b74?pvs=21),冥界,逆向通道,逆向通道 (https://www.notion.so/1b52a3e2f91781a6b661dbef332fce53?pvs=21),Backwards Passage,,世上仅此一个,独一无二,,
汉弗莱·鬼迪方,,,,Famous Spirits,Humphrey Hellhole,,著名灵体,著名灵体 (https://www.notion.so/1df2a3e2f917804ab12fd821ea52dd40?pvs=21),超自然,汉弗莱·鬼迪方,冥界,"独一无二 (https://www.notion.so/1c32a3e2f91780b1ad73d1f892227b74?pvs=21), 王牌双子星 (https://www.notion.so/1df2a3e2f91780cf9d8addbeecd8fb50?pvs=21)",冥界,逆向通道,逆向通道 (https://www.notion.so/1b52a3e2f91781a6b661dbef332fce53?pvs=21),Backwards Passage,,"世上仅此一个,让其他灵体的平静度降低得更快","独一无二,王牌双子星",,
鬼迪方保险柜,,,,Famous Possessions,Hellhole Safe,,著名藏品,著名藏品 (https://www.notion.so/1df2a3e2f91780fdbf42d88bb6f96040?pvs=21),超自然,鬼迪方保险柜,冥界,独一无二 (https://www.notion.so/1c32a3e2f91780b1ad73d1f892227b74?pvs=21),冥界,鬼迪方老巢,鬼迪方老巢 (https://www.notion.so/1b52a3e2f9178139ab04f4e4d207d87d?pvs=21),Hellhole Hangout,,世上仅此一个,独一无二,,
赫丝特·鬼迪方,,,,Famous Spirits,Hester Hellhole,,著名灵体,著名灵体 (https://www.notion.so/1df2a3e2f917804ab12fd821ea52dd40?pvs=21),超自然,赫丝特·鬼迪方,冥界,"独一无二 (https://www.notion.so/1c32a3e2f91780b1ad73d1f892227b74?pvs=21), 王牌双子星 (https://www.notion.so/1df2a3e2f91780cf9d8addbeecd8fb50?pvs=21)",冥界,鬼迪方老巢,鬼迪方老巢 (https://www.notion.so/1b52a3e2f9178139ab04f4e4d207d87d?pvs=21),Hellhole Hangout,,"世上仅此一个,让其他灵体的平静度降低得更快","独一无二,王牌双子星",,
鬼迪方爪牙,,,,Industrial Age Spirits,Hellhole Henchman,,工业时代灵体,工业时代灵体 (https://www.notion.so/1df2a3e2f9178018a943e6442e504120?pvs=21),超自然,鬼迪方爪牙,冥界,"小头领 (https://www.notion.so/1d32a3e2f91780d89fefee85e05a5fd0?pvs=21), 保镖 (https://www.notion.so/1d32a3e2f917800ab4cbf42b69d948b0?pvs=21), 打手 (https://www.notion.so/1d32a3e2f9178079bbf2f1a8a7f8f214?pvs=21), 扒手 (https://www.notion.so/1d32a3e2f9178049835cf28bd29f0385?pvs=21), 勤杂工 (https://www.notion.so/1d32a3e2f9178024ad58fa92145b2859?pvs=21)",冥界,"逆向通道, 鬼迪方老巢","鬼迪方老巢 (https://www.notion.so/1b52a3e2f9178139ab04f4e4d207d87d?pvs=21), 逆向通道 (https://www.notion.so/1b52a3e2f91781a6b661dbef332fce53?pvs=21)",Hellhole Hangout,,"让鬼迪方灵体的平静度降低得更慢。让其他灵体的平静度降低得更快,喜欢待在室内,头脑简单，四肢发达，只会动粗,有几率会掉落食物给员工,会清理其他人留下的垃圾","小头领,保镖,打手,扒手,勤杂工",,
腌黄瓜斯的刨丝器,,,,Famous Possessions,Pickles' Grater,,著名藏品,著名藏品 (https://www.notion.so/1df2a3e2f91780fdbf42d88bb6f96040?pvs=21),超自然,腌黄瓜斯的刨丝器,冥界,独一无二 (https://www.notion.so/1c32a3e2f91780b1ad73d1f892227b74?pvs=21),冥界,默灵剧院,默灵剧院 (https://www.notion.so/1b52a3e2f91781269006c3423bdd0a46?pvs=21),Dead Air Theatre,,世上仅此一个,独一无二,,
布奇·腌黄瓜斯,,,,Famous Spirits,Butch Pickles,,著名灵体,著名灵体 (https://www.notion.so/1df2a3e2f917804ab12fd821ea52dd40?pvs=21),超自然,布奇·腌黄瓜斯,冥界,"独一无二 (https://www.notion.so/1c32a3e2f91780b1ad73d1f892227b74?pvs=21), 弗莱明顿球员 (https://www.notion.so/1d32a3e2f91780979d4af4c00d388225?pvs=21)",冥界,默灵剧院,默灵剧院 (https://www.notion.so/1b52a3e2f91781269006c3423bdd0a46?pvs=21),Dead Air Theatre,,"世上仅此一个,曾代表弗莱明顿打比赛的奶酪球选手","独一无二,弗莱明顿球员",,
热议度加成,,,,Perks,Buzz Boost,,插件,插件 (https://www.notion.so/1df2a3e2f9178075bcb7d28f8b5871f8?pvs=21),科学,热议度加成,"低端科技地穴, 已知宇宙",无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),"低端科技,已知宇宙","低端科技地穴, 迷你星人环形赛道","低端科技地穴 (https://www.notion.so/1b52a3e2f917815eb382ea4ceec4b4d8?pvs=21), 迷你星人环形赛道 (https://www.notion.so/1b52a3e2f917816584a1dda5fd6acdc8?pvs=21)",Bungle Burrows,,,无,,
防锈,,,,Perks,Anti-Rust,,插件,插件 (https://www.notion.so/1df2a3e2f9178075bcb7d28f8b5871f8?pvs=21),科学,,低端科技地穴,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),低端科技,"低端科技地穴, 充电实验室, 安全实验室","低端科技地穴 (https://www.notion.so/1b52a3e2f917815eb382ea4ceec4b4d8?pvs=21), 安全实验室 (https://www.notion.so/1b52a3e2f91781e38186cac5e9b06aae?pvs=21), 充电实验室 (https://www.notion.so/1b52a3e2f91781ad83e5d558e19cdd92?pvs=21)",Bungle Burrows,,,无,,
洒水泵蓝图,,,,Workshop Projects,Sprinkler Pump,,定制装置,定制装置 (https://www.notion.so/1df2a3e2f91780d6ac11dd0e0c0fd9f4?pvs=21),科学,洒水泵,低端科技地穴,洒水泵 (https://www.notion.so/1df2a3e2f91780d180d2fb547376ad50?pvs=21),低端科技,低端科技地穴,低端科技地穴 (https://www.notion.so/1b52a3e2f917815eb382ea4ceec4b4d8?pvs=21),Bungle Burrows,,浇灌（修复）附近的植物展示品,洒水泵,,
金属,,,,Science Materials,Metal,,科研材料,科研材料 (https://www.notion.so/1df2a3e2f91780329cdee45aad00c7c3?pvs=21),科学,,低端科技地穴,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),低端科技,怪石采石场,怪石采石场 (https://www.notion.so/1b52a3e2f9178162a7b6e04ab5850213?pvs=21),Oreful Quarry,,,无,,
机器人改造站蓝图,,,,Workshop Projects,Robo Mod-Stop,,定制装置,定制装置 (https://www.notion.so/1df2a3e2f91780d6ac11dd0e0c0fd9f4?pvs=21),科学,机器人改造站,低端科技地穴,机器人改造站 (https://www.notion.so/1df2a3e2f9178051a9b6dbf99346c70c?pvs=21),低端科技,改装实验室,改装实验室 (https://www.notion.so/1b52a3e2f91781e88c18f962526532d8?pvs=21),Modification Labs,,可对机器人员工进行改造，使其根据需求为用户提供个性化帮助,机器人改造站,,
铬合金镀层,,,,Perks,Chrome Cover,,插件,插件 (https://www.notion.so/1df2a3e2f9178075bcb7d28f8b5871f8?pvs=21),科学,,低端科技地穴,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),低端科技,"反情报实验室, 改装实验室","改装实验室 (https://www.notion.so/1b52a3e2f91781e88c18f962526532d8?pvs=21), 反情报实验室 (https://www.notion.so/1b52a3e2f917818ab9cff667ad449163?pvs=21)",Modification Labs,,,无,,
机器勤杂工蓝图,,,,Workshop Projects,Robo Janitor,,定制装置,定制装置 (https://www.notion.so/1df2a3e2f91780d6ac11dd0e0c0fd9f4?pvs=21),科学,,低端科技地穴,,低端科技,机器人实验室,机器人实验室 (https://www.notion.so/1b52a3e2f91781e5af2dcea23c5c6941?pvs=21),Robot Labs,,,,,
低廉电费,,,,Perks,Cheap Charge,,插件,插件 (https://www.notion.so/1df2a3e2f9178075bcb7d28f8b5871f8?pvs=21),科学,,低端科技地穴,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),低端科技,"改装实验室, 机器人实验室","机器人实验室 (https://www.notion.so/1b52a3e2f91781e5af2dcea23c5c6941?pvs=21), 改装实验室 (https://www.notion.so/1b52a3e2f91781e88c18f962526532d8?pvs=21)",Robot Labs,,,无,,
雾判机蓝图,,,,Workshop Projects,Judgement Clouder,,定制装置,定制装置 (https://www.notion.so/1df2a3e2f91780d6ac11dd0e0c0fd9f4?pvs=21),科学,雾判机,低端科技地穴,雾判机 (https://www.notion.so/1df2a3e2f91780a99374d5250cac7ee4?pvs=21),低端科技,化学实验室,化学实验室 (https://www.notion.so/1b52a3e2f9178164a328ef35ef4bf871?pvs=21),Chemical Labs,,使用定制的化学物质对访客的参观体验带来一些影响,雾判机,,
娱乐加成,,,,Perks,Entertainment Boost,,插件,插件 (https://www.notion.so/1df2a3e2f9178075bcb7d28f8b5871f8?pvs=21),科学,娱乐加成,低端科技地穴,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),低端科技,化学实验室,化学实验室 (https://www.notion.so/1b52a3e2f9178164a328ef35ef4bf871?pvs=21),Chemical Labs,,,无,,
金松露,,,,Science Materials,Golden Truffle,,科研材料,科研材料 (https://www.notion.so/1df2a3e2f91780329cdee45aad00c7c3?pvs=21),科学,,低端科技地穴,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),低端科技,黄金矿坑,黄金矿场 (https://www.notion.so/1b52a3e2f9178166b67acdca9a390bec?pvs=21),Golden Mine,,,无,,
机器人充电大师蓝图,,,,Workshop Projects,Robo Charge-Master,,定制装置,定制装置 (https://www.notion.so/1df2a3e2f91780d6ac11dd0e0c0fd9f4?pvs=21),科学,机器人充电大师,低端科技地穴,机器人充电大师 (https://www.notion.so/1df2a3e2f91780b0aa72ddbc73adfa06?pvs=21),低端科技,充电实验室,充电实验室 (https://www.notion.so/1b52a3e2f91781ad83e5d558e19cdd92?pvs=21),Charge Labs,,可为机器人员工补充能量，充电成本十分低廉,机器人充电大师,,
机器保安蓝图,,,,Workshop Projects,Robo Security Guard,,定制装置,定制装置 (https://www.notion.so/1df2a3e2f91780d6ac11dd0e0c0fd9f4?pvs=21),科学,,低端科技地穴,,低端科技,反情报实验室,反情报实验室 (https://www.notion.so/1b52a3e2f917818ab9cff667ad449163?pvs=21),Counter Intelligence Labs,,,,,
快速充电,,,,Perks,Fast Charge,,插件,插件 (https://www.notion.so/1df2a3e2f9178075bcb7d28f8b5871f8?pvs=21),科学,,低端科技地穴,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),低端科技,反情报实验室,反情报实验室 (https://www.notion.so/1b52a3e2f917818ab9cff667ad449163?pvs=21),Counter Intelligence Labs,,,无,,
空气指挥器蓝图,,,,Workshop Projects,Air Commissioner,,定制装置,定制装置 (https://www.notion.so/1df2a3e2f91780d6ac11dd0e0c0fd9f4?pvs=21),科学,空气指挥器,低端科技地穴,空气指挥器 (https://www.notion.so/1df2a3e2f917803f9699ef0a70a4b85b?pvs=21),低端科技,低温实验室,低温实验室 (https://www.notion.so/1b52a3e2f91781f4bd93dd55305accf7?pvs=21),Cryo Labs,,控制周围的温度,空气指挥器,,
毕夫·西瓦臀,,,,Famous Spirits,Biff Silverbottom,,著名灵体,著名灵体 (https://www.notion.so/1df2a3e2f917804ab12fd821ea52dd40?pvs=21),超自然,毕夫·西瓦臀,低端科技地穴,独一无二 (https://www.notion.so/1c32a3e2f91780b1ad73d1f892227b74?pvs=21),低端科技,低温实验室,低温实验室 (https://www.notion.so/1b52a3e2f91781f4bd93dd55305accf7?pvs=21),Cryo Labs,,世上仅此一个,独一无二,,
水晶苔藓,,,,Science Materials,Crystal Moss,,科研材料,科研材料 (https://www.notion.so/1df2a3e2f91780329cdee45aad00c7c3?pvs=21),科学,,低端科技地穴,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),低端科技,水晶洞穴,水晶洞穴 (https://www.notion.so/1b52a3e2f91781cdac91fab58b68efed?pvs=21),Crystal Caves,,,无,,
印刷机,,,,Classic Contraptions,Printing Press,,古典装置,古典装置 (https://www.notion.so/1df2a3e2f91780088dc9f4b1007fe4be?pvs=21),科学,,低端科技地穴,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),低端科技,下层古董档案馆,下层古董档案馆 (https://www.notion.so/1b52a3e2f91781f7a167f78767683585?pvs=21),Lower Antique Archives,,,无,,
绷带筐,,,,Classic Contraptions,Bandage Basket,,古典装置,古典装置 (https://www.notion.so/1df2a3e2f91780088dc9f4b1007fe4be?pvs=21),科学,,低端科技地穴,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),低端科技,下层古董档案馆,下层古董档案馆 (https://www.notion.so/1b52a3e2f91781f7a167f78767683585?pvs=21),Lower Antique Archives,,,无,,
火车头,,,,Classic Contraptions,Locomotive,,古典装置,古典装置 (https://www.notion.so/1df2a3e2f91780088dc9f4b1007fe4be?pvs=21),科学,,低端科技地穴,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),低端科技,下层古董档案馆,下层古董档案馆 (https://www.notion.so/1b52a3e2f91781f7a167f78767683585?pvs=21),Lower Antique Archives,,,无,,
震能转换器蓝图,,,,Workshop Projects,,,定制装置,定制装置 (https://www.notion.so/1df2a3e2f91780d6ac11dd0e0c0fd9f4?pvs=21),科学,震能转换器,低端科技地穴,震能转换器 (https://www.notion.so/1df2a3e2f91780a18f56f2cf0e7e5b37?pvs=21),低端科技,记忆实验室,电击实验室 (https://www.notion.so/1b52a3e2f917810face6e4f7259e2651?pvs=21),Shock Labs,,为附近的访客提升少量移动速度,震能转换器,,
简易设计,,,,Perks,Easy Fixture,,插件,插件 (https://www.notion.so/1df2a3e2f9178075bcb7d28f8b5871f8?pvs=21),科学,简易设计,低端科技地穴,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),低端科技,电击实验室,电击实验室 (https://www.notion.so/1b52a3e2f917810face6e4f7259e2651?pvs=21),Shock Labs,,,无,,
全方位监测塔蓝图,,,,Workshop Projects,Panoptic Pillar,,定制装置,定制装置 (https://www.notion.so/1df2a3e2f91780d6ac11dd0e0c0fd9f4?pvs=21),科学,全方位监测塔,低端科技地穴,全方位监测塔 (https://www.notion.so/1df2a3e2f91780efae16c439fec884cd?pvs=21),低端科技,安全实验室,安全实验室 (https://www.notion.so/1b52a3e2f91781e38186cac5e9b06aae?pvs=21),Security Labs,,有一定概率辨别出伪装的罪犯,全方位监测塔,,
内置扬声器,,,,Perks,Built-In Speaker,,插件,插件 (https://www.notion.so/1df2a3e2f9178075bcb7d28f8b5871f8?pvs=21),科学,,低端科技地穴,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),低端科技,"低端科技地穴, 安全实验室","安全实验室 (https://www.notion.so/1b52a3e2f91781e38186cac5e9b06aae?pvs=21), 低端科技地穴 (https://www.notion.so/1b52a3e2f917815eb382ea4ceec4b4d8?pvs=21)",Security Labs,,,无,,
美化激光装置蓝图,,,,Workshop Projects,Beautification Beam,,定制装置,定制装置 (https://www.notion.so/1df2a3e2f91780d6ac11dd0e0c0fd9f4?pvs=21),科学,美化激光装置,低端科技地穴,美化激光装置 (https://www.notion.so/1df2a3e2f917804495c2d90e1d19d98f?pvs=21),低端科技,激光实验室,激光实验室 (https://www.notion.so/1b52a3e2f91781e1b192d9be5dd0a50b?pvs=21),Laser Labs,,参观该展示品的访客可获得环境值加成,美化激光装置,,
装饰加成,,,,Perks,Decoration Boost,,插件,插件 (https://www.notion.so/1df2a3e2f9178075bcb7d28f8b5871f8?pvs=21),科学,,低端科技地穴,无 (https://www.notion.so/1df2a3e2f91780dda0e9c616e13ef395?pvs=21),低端科技,激光实验室,激光实验室 (https://www.notion.so/1b52a3e2f91781e1b192d9be5dd0a50b?pvs=21),Laser Labs,,,无,,
